,Unnamed: 0,refs,del_25,model_corrected
66,74790,furthermore six gm markers were shared by obesity patients with various metabolic disorders ,furthermore six markers were shared by obesity patients with metabolic disorders,furthermore six markers were shared by obesity patients with metabolic disorders
67,74791,as for the discrimination with group o group oa exhibited low accuracy ,as for the discrimination with group o group oa exhibited low accuracy,as for the discrimination with group o group of oa exhibited low accuracy
68,74792,nonetheless gm classifications to distinguish between group o and the obese patients with specific metabolic abnormalities were not accurate ,nonetheless classifications to distinguish between group o and the obese patients with specific metabolic abnormalities were not accurate,nonetheless classifications to distinguish between group o and the obese patients with specific metabolic abnormalities were not accurate
69,74793,common biomarkers were identified for the obesity patients with high uric acid high serum lipids and high blood pressure such as clostridium xiva bacteroides and roseburia,common biomarkers were identified for the obesity patients with high uric acid high serum lipids and high blood pressure as clostridium bacteroides and roseburia,common biomarkers were identified for the obesity patients with high uric acid high serum lipids and high blood pressure as clostridium bacteroides and roseburia
70,74794,in contrast the aforementioned clinical indicators were negatively associated with bacteroides roseburia butyricicoccus alistipes parasutterella parabacteroides and clostridium iv,contrast the aforementioned clinical indicators were negatively associated with bacteroides roseburia butyricicoccus alistipes parasutterella parabacteroides and clostridium iv,contrast the aforementioned clinical indicators were negatively associated with bacteroides roseburia butyricicoccus alistipes parasutterella polyposis parabacteros and clostridium iv
71,74795,generally these biomarkers hold the potential to predict obesityrelated metabolic abnormalities and interventions based on these biomarkers might be beneficial to weight loss and metabolic risk improvement,generally these biomarkers hold the potential to predict obesityrelated metabolic abnormalities and interventions based on these biomarkers might be beneficial to loss and metabolic risk improvement,generally these biomarkers hold the potential to predict obesityrelated metabolic abnormalities and interventions based on these markers might be beneficial to weight loss and metabolic risk improvement
72,74796,aim of the study the purpose of this study was to investigate the clinical manifestations and outcomes of patients with adult mixedtype henochschönlein purpura  and imaging characteristics of the disease and to evaluate the efficacy of combined therapy in treating symptoms of hsp,aim of study the purpose of this study was to the clinical manifestations and outcomes of patients adult mixedtype henochschönlein purpura and imaging characteristics of the disease and to evaluate the efficacy of combined in treating symptoms of hsp,aim of study the purpose of this study was to describe the clinical manifestations and outcomes of patients with adult mixedtype henochschönlein purpura and imaging characteristics of the disease and to evaluate the efficacy of combined therapy in treating symptoms of hsp
73,74797,abdominal contrastenhanced computed tomography  examination and small intestinal enteroscopy were performed for all the patients,abdominal contrastenhanced computed tomography examination and small intestinal enteroscopy were performed for all the patients,abdominal contrastenhanced computed tomography examination and small intestinal enteroscopy were performed for all the patients
74,74798,combined therapy with antihistamine drugs gastric acid suppressants and glucocorticoids was used to relieve abdominal pain gastrointestinal tract bleeding and urine protein,combined therapy with antihistamine drugs gastric acid suppressants and glucocorticoids was used to relieve abdominal pain tract bleeding and urine,combined therapy with antihistamine drugs gastric acid suppressants and glucocorticoids was used to relieve abdominal pain gastrointestinal tract bleeding and urine
75,74799,the typical skin manifestation of hsp is distributed purpura in dependent areas,the typical skin manifestation of is purpura in dependent areas,the typical skin manifestation of is purpura in dependent areas
76,74800,abdominal contrastenhanced ct examination exhibited the intestinal canal wall thickening and edema,abdominal contrastenhanced ct examination exhibited the intestinal wall thickening and edema,abdominal contrastenhanced ct examination exhibited the intestinal wall thickening and edema
77,74801,small intestinal endoscopy showed diffused hyperemia dropsy and erosion,small intestinal endoscopy showed diffused hyperemia dropsy and erosion,small intestinal endoscopy showed diffused hyperemia dropsy and erosion
78,74802,all the patients with positive urine protein showed significantly higher iga levels,all the patients with positive urine protein showed significantly higher iga,all the patients with positive urine protein showed significantly higher iga
79,74803,with the use of combined therapy abdominal pain and gastrointestinal tract bleeding disappeared and urine protein decreased gradually,with the use of combined therapy abdominal pain and gastrointestinal tract bleeding disappeared and urine protein decreased gradually,with the use of combined therapy abdominal pain and gastrointestinal tract bleeding disappeared and urine protein decreased gradually
80,74804,higher iga levels with multiorgan involvement  should make one consider the diagnosis,higher iga levels with multiorgan involvement make one consider the,higher iga levels with multiorgan involvement make one consider the diagnosis
81,74805,the combined examination of abdominal contrastenhanced ct small intestinal endoscopy and renal needle biopsy is a valuable method for the early diagnosis of adult mixedtype hsp,the combined examination of abdominal ct small intestinal endoscopy and needle is a valuable for the diagnosis of adult mixedtype hsp,the combined examination of abdominal ct small intestinal endoscopy and needle biopsy is a valuable tool for the diagnosis of adult mixedtype hsp
82,74806,hospital readmissions are costly to healthcare systems and represent a measure of quality care,hospital readmissions healthcare systems and a measure quality care,hospital readmissions healthcare systems and a measure of quality care
83,74807,patients with cancer with malignant pleural effusions  are at high risk for rehospitalization however risk factors for readmissions in this population are not well described,patients with cancer with malignant pleural effusions are at high risk for rehospitalization however risk factors for this are not well described,patients with cancer with malignant pleural effusions are at high risk for rehospitalization however risk factors for this are not well described
84,74808,understanding the incidence and risk factors for readmission could facilitate the development of a readmission reduction strategy in this patient population,understanding the incidence and risk factors for readmission could facilitate the development of a readmission reduction strategy in this patient population,understanding the incidence and risk factors for readmission could facilitate the development of a readmissions reduction strategy in this patient population
85,74809,survey weighting methods that accounted for the nrd sampling design were used to generate nationally representative estimates,survey that accounted for the nrd sampling design were used nationally representative estimates,survey data that accounted for the nrd sampling design were used nationally representative estimates
86,74810,we used multivariable logistic regression to determine predictors of early readmission,we used logistic regression to determine of early readmission,we used logistic regression to determine the frequency of early readmission
87,74811,predictors of early readmission included having medicaid insurance status treatment with thoracentesis only and discharge to a care facility or home health care,predictors of early included having medicaid insurance status thoracentesis only and discharge to a care facility or health care,predictors of early complications included having medicaid insurance status thoracentesis only and discharge to a tertiary care facility or health care unit
88,74812,nondefinitive management with thoracentesis led to more readmissions,nondefinitive management with thoracentesis led to more readmissions,nondefinitive management with thoracentesis led to more readmissions
89,74813,a further understanding of factors that drive preventable readmissions could significantly improve quality of care in this population,a further of factors that drive preventable readmissions significantly improve quality of care this population,a further review of factors that drive preventable readmissions could significantly improve quality of care in this population
90,74814,obesity is a global health epidemic with considerable economic burden,obesity is a global epidemic with considerable economic burden,obesity is a global epidemic with considerable economic burden
91,74815,surgical solutions have become increasingly popular following technical advances leading to sustained efficacy and reduced risk,surgical solutions have become increasingly popular following technical advances leading to sustained efficacy and reduced risk,surgical solutions have become increasingly popular following technical advances leading to sustained efficacy and reduced risk
92,74816,sleeve gastrectomy accounts for almost half of all bariatric surgeries worldwide but concerns regarding its relationship with gastroesophageal reflux disease  has been a topic of debate,gastrectomy accounts for almost half of all bariatric surgeries but concerns regarding its relationship with gastroesophageal reflux disease been a topic of debate,gastrectomy accounts for almost half of all bariatric surgeries but concerns regarding its relationship with gastroesophageal reflux disease  have been a topic of debate
93,74817,gerd including erosive esophagitis is highly prevalent in the obese population,gerd including erosive is highly prevalent in the obese population,gerd including erosive gastritis is highly prevalent in the obese population
94,74818,the role of preoperative endoscopy in bariatric surgery has been controversial,role of preoperative endoscopy in bariatric surgery has been controversial,role of preoperative endoscopy in bariatric surgery has been controversial
95,74819,two schools of thought exist on the matter one that believes routine upper endoscopy before bariatric surgery is not warranted in the absence of symptoms and another that believes that symptoms are poor predictors of underlying esophageal pathology,schools of thought exist on the matter one that believes routine upper endoscopy before surgery not warranted in absence of and that believes that symptoms are poor predictors of underlying esophageal pathology,schools of thought exist on the matter one that believes routine upper endoscopy before surgery is not warranted in the absence of dysphagia and that believe that symptoms are poor predictors of underlying esophageal pathology
96,74820,treatment options to prevent or halt the progression of cc are limited,treatment options to prevent or halt the progression cc are limited,treatment options to prevent or halt the progression of cc are limited
97,74821,targeted acupuncture  was used in gi patients with cc to evaluate for a potential gender effect,targeted acupuncture was used in gi patients with cc to evaluate for a potential gender effect,targeted acupuncture was used in gi patients with cc to evaluate for a potential gender effect
98,74822,patients and participants  a significant  a decrease in leptin in the mi group corresponded to higher appetite and weight gain,patients and participants a significant a decrease leptin in the mi group corresponded to higher appetite and weight gain,patients and participants a significant a decrease in the mi group corresponded to higher appetite and weight gain
99,74823,the elevated ecwicw ratio indicates an inflammatory response in the mi group,the elevated ecwicw ratio indicates an inflammatory response in the mi group,the elevated ecwicw ratio indicates an inflammatory response in the mi group
100,74824,this genderspecific response may be based on hormonespecific regulation of food intake,this genderspecific response may be based on hormonespecific regulation of food intake,this genderspecific response may be based on hormonespecial regulation of food intake
101,74825,further studies with larger sample sizes are required to support the results,further studies with larger sample sizes are required to support the results,further studies with larger sample sizes are required to support the results
102,74826,peutzjeghers syndrome is a rare autosomal dominant disorder,peutzjeghers syndrome is a rare autosomal dominant,peutzjeghers syndrome is a rare autosomal dominant disorder
103,74827,peutzjeghers syndrome is characterized by several symptoms the formation of multiple hamartomatous polyps primarily in the gastrointestinal tract and hyperpigmentation of the mucous membranes and skin,peutzjeghers syndrome is characterized by several formation of multiple hamartomatous polyps primarily in the gastrointestinal tract and hyperpigmentation of the mucous membranes and skin,peutzjeghers syndrome is characterized by several formation of multiple hamartomatous polyps primarily in the gastrointestinal tract and hyperpigmentation of the mucous membranes and skin
104,74828,patients with peutzjeghers syndrome often develop various malignant neoplasms mainly localized in the pancreas and colon,with peutzjeghers syndrome often develop various malignant neoplasms mainly localized in the pancreas and colon,patients with peutzjeghers syndrome often develop various malignant neoplasms mainly localized in the pancreas and colon
105,74829,initially the child was diagnosed with vitiligo due to complaints of depigmentation of the skin of the face and hands,initially the child was diagnosed with vitiligo due to complaints of of the skin of the face and hands,initially the child was diagnosed with vitiligo due to complaints of swelling of the skin of both the face and hands
106,74830,during reexamination after half a year foci of hyperpigmentation on the lip and mucous membranes of the oral cavity were noted,during after half a year foci of hyperpigmentation on the lip and mucous of the oral cavity were noted,during after half a year foci of hyperpigmentation on the lip and mucous of the oral cavity were noted
107,74831,esophagogastroduodenoscopy showed the presence of a polypous lump in the stomach,esophagogastroduodenoscopy the presence of a lump in the stomach,esophagogastroduodenoscopy revealed the presence of a lump in the stomach
108,74832,genetic consultation confirmed the diagnosis of peutzjeghers syndrome,genetic confirmed the diagnosis of peutzjeghers syndrome,genetic examination confirmed the diagnosis of peutzjeghers syndrome
109,74833,the absence of family history indicates a sporadic case characterized by diseases with an autosomaldominant mode of inheritance,the absence of family indicates a sporadic case characterized by diseases with an autosomaldominant inheritance,the absence of family history indicates a sporadic case characterized by diseases with an autosomaldominant inheritance
110,74834,this clinical case demonstrates the need for gastroenterological and genetic examinations in the presence of lesions on the oral mucosa and the vermillion border of the lips to confirm or exclude peutzjeghers syndrome,this clinical demonstrates the need for gastroenterological and genetic examinations in the presence of lesions on the oral mucosa and the vermillion border of the lips to confirm or exclude peutzjeghers syndrome,this clinical study demonstrates the need for gastroenterological and genetic examinations in the presence of lesions on the oral mucosa and the vermillion border of the lips to confirm or exclude peutzjeghers syndrome
111,74835,neoadjuvant therapy has become an indispensable part of the treatment in locally advanced mildlow rectal cancer,neoadjuvant therapy has become an indispensable part of the treatment locally advanced mildlow rectal cancer,neoadjuvant therapy has become an indispensable part of the treatment of locally advanced mildlow rectal cancer
112,74836,neoadjuvant therapy can cause the regression of the tumor body as well as drainage lymph nodes which may influence the size number and metastatic status of the lymph nodes,neoadjuvant therapy can cause the regression of the tumor body well as drainage nodes which may influence size number and metastatic status of the lymph nodes,neoadjuvant therapy can cause the regression of the tumor body as well as drainage nodes which may influence size number and metastatic status of both the lymph nodes
113,74837,the optimal detection of yielded lymph nodes in rectal cancer is essential for accurate staging response assessment and adjuvant treatment decision,the optimal detection of yielded lymph nodes in rectal cancer is essential for accurate staging response assessment and adjuvant treatment decision,the optimal detection of yielded lymph nodes in rectal cancer is essential for accurate staging response assessment and adjuvant treatment decision
