,refs,trans,__index_level_0__,model_corrected
17,i cant turn my neck to the left without feeling a stabbing pain,i cant turn my neck to the left without feeling a stabbing pain,5290,i cant turn my neck to the left without feeling a stabbing pain
18,my hair is falling out in bunches,my hair is falling out in bunches,5291,my hair is falling out in bunches
19,i have some terrible problems when im breathing during the night,i have some terrible problems when im breathing during the night,5292,i have some terrible problems when im breathing during the night
20,my heart feels like its going to explode,my heart feels like its going to explode,5293,my heart feels like its going to explode
21,it feels like my heart is going to leap out of my body it hurts,it feels like my heart is going to leap out of my body it hurts,5294,it feels like my heart is going to leap out of my body it hurts
22,im having a hard time hearing,i am having a hard time hearing,5295,im having a hard time hearing
23,my body feels weak after my first day in the gym why,my body feels weak after my first day in the gym why,5296,my body feels weak after my first day in the gym why
24,after walking i have some pain under my foot,after walking i had some pain under my foot,5297,after walking i had some pain under my foot
25,when i eat sugar i notice my vision blurs,when i had sugar i noticed my vision blurred,5298,when i had sugar i noticed my vision blurred
26,there is a tingling sensation in my neck,there is a tingling sensation in my neck,5299,there is a tingling sensation in my neck
27,my sore isnt healing well and its been like this for two weeks,my sore isnt healing well and its been like this for two weeks,5300,my sore isnt healing well and its been like this for two weeks
28,there is pain in my joints i can not bear pain,there is pain in my joints i cannot be a pain,5301,there is pain in my joints i cannot bear pain
29,my skin is itchy and inflamed,my skin is itchy and inflamed,5302,my skin is itchy and inflamed
30,i had a cut that was stitched together but it is not healing  it is oozing green puss and burns,i had a cut that was stitched together but it is not healing it is bruising green pus and burns,5303,i had a cut that was stitched together but it is not healing  it has oozes green puss and burns
31,i feel a great amount of pressure of my head,i feel a great amount of pressure of my head,5304,i feel a great amount of pressure of my head
32,my stomach feels full and upset  and bloating after big meals,my stomach feels full and upset and blotting after big meals,5305,my stomach feels full and upset  and blotting after big meals
33,my heart is beating fast and it scares me,my heart is beating fast and it scares me,5306,my heart is beating fast and it scares me
34,i have a dull ache in my stomach  it gets worse after i eat,i have a dull ache in my stomach it gets worse after i eat,5307,i have a dull ache in my stomach  it gets worse after i eat
35,my right shoulder clicks when i move my arm,my right when i move my eye,5308,my right when i move my eye
36,i think my wound is infected,i think my,5309,i think my
37,i feel great pain in the head,i feel great pain in the hip,5310,i feel great pain in the hip
38,my wound opened up again,my older one,5311,my older one
39,i am worried how cold intolerant i am i am always shivering even out in the sun,i dont know how,5312,i dont know how
40,when i stand i feel dizzy i do not know why,when i stand i feel dizzy i do not know,5313,when i stand i feel dizzy i do not know
41,i hit the ground when trying to shoot a basketball,i hate the ground when trying to se the room,5314,i hate the ground when trying to reach the room
42,my son nicked his neck with an old razor and that spot has become inflamed and looks like it is infected,my son and nick is not with the become pain,5315,my son and nick is not with the pain
43,i feel fluid trying to come up when i cough,and she was going to,5316,and she was going to
44,i have dark spots on my skin,i have that spot on my skin,5317,i have that spot on my skin
45,my back hurts me a lot,my back hurts me a lot,5318,my back hurts me a lot
46,there is a sharp pain in my bicep,there is a heart,5319,there is a heart
47,there is a constant tickle in my throat,cardio and,5320,cardio and
48,i can hardly breathe,i can hardly breath,5321,i can hardly breath
49,i have a problem in my back i cannot extend it,i have a problem in my that i can,5322,i have a problem in my heart i cant stop thinking
50,i cant move my shoulder because of pain,i should have,5323,i should have
51,my skin color on my back is red i dont know why,my skin color on my bag is there i dont know,5324,my skin color on my bag is there i dont know
52,my hair is falling out in huge amount,my head is doctor,5325,my head is spinning
53,my muscles feel tired,when you touch,5326,when you touch
54,my head is spinning when i get up,my head is saying,5327,my head is saying
55,laceration rupture or opening in the skin,yeah depression a lot of,5328,yeah depression a lot of
56,my son has a lot of acne,my son has a daughter,5329,my son has a daughter
57,i have a foot ache after running 500m with my running shoes,i work four days after running five m uh with my running,5330,i work four days after running five km i feel dizzy with my running
58,my head hurts me badly,my head hurts,5331,my head hurts
59,i feel back pain when i carry heavy things,i feel back pain when i,5332,i feel back pain when i walk
60,feels like there are pins and needles sticking in my joints,his like that in,5333,his like that in
61,i have a rash on my skin,i will also,5334,i will also
62,i have a problem in seeing objects it is too difficult to see,i have a problem i i see,5335,i have a problem i i see
63,all of a sudden i felt dizzy when i stood up,one,5336,one
64,i feel like the world goes round and round,i know they wont go on there,5337,i know they wont go on there
65,ive tried reading books but nothing can cheer me up,i have tried reading books but nothing can catch me up,5338,i have tried reading books but nothing can catch me up
66,my head hurts me badly,my head has my,5339,my head has throbs
67,my son has a lot of acne,my son has a lot of it,5340,my son has a lot of acne
68,it started as a tinnitus but today the pain is throbbing and unbearable,i started as a dizziness but today the pain is coming on,5341,i started as a dizziness but today the pain is coming on
69,i have a foot ache after running 500m with my running shoes,i have short as 500 minutes running,5342,i have short as 500 minutes running
70,there is a constant tickle in my throat,there is a concentrate in me,5343,there is a dull ache in my joints
71,i have dark spots on my skin,yeah thats what,5344,yeah thats what
72,my cough is very heavy and i have mucus,my cough is very heavy i have cough,5345,my cough is very heavy i have cough
73,the feeling of coughing increases in winters reach,the feeling of the the,5346,the feeling of pain
74,i wish this excruciating feeling of loss could go away,i always dis a feeling of the cop,5347,i always have a feeling of pain inside
75,my joints feel swollen,i see,5348,i feel dizzy
76,when i stand i feel dizzy i do not know why,when i stand i i know,5349,when i stand i i know
77,my son nicked his neck with an old razor and that spot has become inflamed and looks like it is infected,my son nick neck with an old razer that spot has become inflamed and looks like an insect,5350,my son stuck his neck with an old razor that has become inflamed and looks like an insect
78,i cannot bear this squeezing sensation i have in my chest,i cannot wear that i have in my check,5351,i cannot wear that i have in my check
79,my muscles feel tired,when we press,5352,when we press
80,the arches of my feet hurt when i wear heels,that was on my feet hold on,5353,that was on my feet hold on
81,my shoulder is hurting me,my in the heart,5354,my in the heart
82,i stopped sports because i get injury from sports,that for because i can from for,5355,that for because i can from for
83,i can hardly breathe,i can hardly breath,5356,i can hardly breath
84,i have general discomfort in my torso,i have,5357,i have
85,ive noticed my hair falling out a lot lately,i have noticed my ear coming out a lot,5358,ive noticed my ear coming out a lot lately
86,when i stand up too quickly i start to feel dizzy and lightheaded,when i turned up too quickly i had to,5359,when i turned up too quickly i had to
87,i have a rash on my skin,i have a rash on my skin,5360,i have a rash on my skin
88,my right shoulder clicks when i move my arm,my right shoulder keep on moving,5361,my right shoulder keep on moving
89,pain in the large neck,when in the last time,5362,when in the last time
90,i feel severe itching in the skin with redness,i feel something the skin with redness,5363,i feel something on the skin with redness
91,i have a very bad cough,i have a per head cough,5364,i have a per head cough
92,my hair is falling out in huge amount,my hair is falling up in here so,5365,my hair is falling up in bunches
93,cramps along the whole abdomen,sounds along the,5366,sounds along the
94,i toppled over while jumping to catch the ball,i thought we were jumping the in the work,5367,i thought we were jumping the in the pool
95,my skin color on my back is red i dont know why,my skin color on my back in red i dont know,5368,my skin color on my back in red i dont know
96,i feel back pain when i carry heavy things,i feel that in when i hit,5369,i feel that in when i hit
97,my son got a tattoo several weeks ago and the skin around it is raised and hot and it looks infected,and the skin around it,5370,and the skin around it
98,i cant move my shoulder because of pain,i cannot remember,5371,i cannot remember
99,i feel sad like hurt or pain,i feel sad like hard,5372,i feel sad like hard
100,i think my wound is infected,i think my i do too,5373,i think my i do too
101,i feel pain in my back,i feel pain in my back,5374,i feel pain in my back
102,i feel pain in my ears with tinnitus,i feel pain in my ears with fetus,5375,i feel pain in my ears with prick
103,i feel fluid trying to come up when i cough,i trying to count your liver,5376,i am trying to count your liver
104,i cant work good i have a pain in my knee,i cannot but i have pain in my knee,5377,i cannot but i have pain in my knee
105,i have a problem in my back i cannot extend it,i just,5378,i just
106,after an hard working day i have foot ache,other than hard walking day i have,5379,other than hard walking day i have
107,feels like there are pins and needles sticking in my joints,is like there are pen and needles which is my point,5380,is like there are pen and needles which is my point
108,i feel pain in my throat,right i feel i feel pain in my throat,5381,right i feel i have pain in my throat
109,there is a sharp pain in my bicep,there is a my bicep,5382,there is a claw on my bicep
110,my wound opened up again,my own open my,5383,my heart hurts when i open my heart
111,i hit the ground when trying to shoot a basketball,i i hate the ground and trying so i should have,5384,i i hate the ground and trying so i should have
112,i feel deep tingling when i touch acne followed by bad sensation,i when i eat when you were back,5385,i when i eat when you were back
113,my daughter had her ears pierced and one of her ear lobes is bright red and burning hot,my daughter had a hair past and one of her a love is bright red and burning cotton,5386,my daughter had a hair fall and one of her lobes is bright red and burning cotton
114,i have a sharp pain in my ear,have a sharp pain in my ear,5387,have a sharp pain in my ear
115,i feel pain in my joint after an injury in the last football match i played,i feel pain in my joint after an injury in the last football match i played,5388,i feel pain in my joint after an injury in the last football match i played
116,how do you know if you have a torn meniscus in your knee,how do you know if you have a torn meniscus in your knee,5389,how do you know if you have a torn meniscus in your knee
117,there is a sharp pain in my calve,theres a sharp pain in my skull,5390,there is a sharp pain in my skull
118,whats the symptoms of appendicitis,whats the symptoms of appendicitis,5391,whats the symptoms of appendicitis
119,every morning when i wake up my neck feels like i slept on in wrong,every morning when i wake up my leg feels like ive slept on the ground,5392,every morning when i wake up my leg feels like ive slept on on the ground
120,i get i joint pain when i try to bend my leg or my arm,i get joint pain when i try to bend my leg or my arm,5393,i get joint pain when i try to bend my leg or my arm
121,my face is all broken out with pimples,my face is all broken out with pimples,5394,my face is all broken out with pimples
122,since i went into the forest  i have pain on my ear,since i went into the forest i have pain on my ear,5395,since i went into the forest  i have pain on my ear
123,my back hurts so much i cant bend down to tie my shoelaces,my back hurts so much i cant bend down to tie my shoelaces,5396,my back hurts so much i cant bend down to tie my shoelaces
124,its hard to stand up and im moving very slowly,its hard to stand up and im moving very slowly,5397,its hard to stand up and im moving very slowly
125,there is an extreme pressure below my belly button at the right which i feel every time i go out for a jog,there is an extreme pressure below my belly button at the right which i feel every time i go out for a jog,5398,there is an extreme pressure below my belly button at the right which i feel every time i go out for a jog
126,my son had his lip pierced and it is swollen and the skin inside on his lip is grey and looks infected,my son had his lip pierced and it is swollen and the skin inside on his lip is gray and looks infected,5399,my son had his lip pierced and it is swollen and the skin inside on his lips is grey and looks infected
127,i have a problem in the expiration because i have abronchial asthma,i have a problem in the expiration because i have a bronchial asthma,5400,i have a problem in the expiration because i have abronchial asthma
128,there pain in my foot,there is pain in my foot,5401,there is pain in my foot
129,there is a red stain in my skin,there is a red stain in my skin,5402,there is a red stain in my skin
130,i read a book for along time and when i finished reading i feel head ache,i read a book for a long time and when i finished reading i feel headache,5403,i read a book for along time and when i finished reading i feel head ache
131,i have a lot of knee pain whenever i go running,i have a lot of knee pain whenever i go running,5404,i have a lot of knee pain whenever i go running
132,my son squeezed a pimple and it broke open only to scab over and now looks like it is infected,my son squeezed a pimple and it broke open only to scab over and now it looks like it is infected,5405,my son squeezed a pimple and it broke open only to scab over and now looks like it is infected
133,i feel great pressure in my chest,i feel great pressure in my chest,5406,i feel great pressure in my chest
134,i feel depressed when i see my hair falling out,feel depressed when i see my hair falling out,5407,feel depressed when i see my hair falling out
135,i feel great pain in my feet after playing one of the sports games,i feel great pain in my feet after playing one of the sports games,5408,i feel great pain in my feet after playing one of the sports games
136,anytime i play tennis i feel a shoulder pain,any time i play tennis i feel a shoulder pain,5409,anytime i play tennis i feel a shoulder pain
137,my hand open wound got infected,my hand open wound got infected,5410,my hand open wound got infected
138,my stomach has been sore since yesterday,my stomach has been sore since yesterday,5411,my stomach has been sore since yesterday
139,i lose a lot of my hair,i lose a lot of my hair,5412,i lose a lot of my hair
140,i have a back pain since i fell on the floor,i have a back pain since i fell on the floor,5413,i have a back pain since i fell on the floor
141,i fell off my bike and since then i had hard  knee pain,i fell off my bike and since then i had hard knee pain,5414,i fell off my bike and since then i had hard  knee pain
142,i got a divorce last year and i just cant stop dwelling on how to get revenge on my ex husband,i got a divorce last year and i just cant stop dwelling on how to get revenge on my ex husband,5415,i got a divorce last year and i just cant stop dwelling on how to get revenge on my ex husband
143,i feel strong pain in my knee after it was hit during the football match,i feel a strong pain in my knee after it was hit during the football match,5416,i feel a strong pain in my knee after it was hit during the football match
144,my head is spinning when i get up,my head is spinning when i get up,5417,my head is spinning when i get up
145,cramps along the whole abdomen,cramps along the whole abdominal,5418,cramps along the whole abdominal
146,i feel deep tingling when i touch acne followed by bad sensation,i feel the tingling when i touch air followed by va station,5419,i feel the tingling when i touch air followed by cold
147,when i stand up too quickly i start to feel dizzy and lightheaded,when i stand up too quickly i start to feel dizzy and lightheaded,5420,when i stand up too quickly i start to feel dizzy and lightheaded
148,i made lots and lots of analysis to know the main reason for my stomach ache,i made lots and lots of analysis to know the main region for my too much h,5421,i made lots and lots of analysis to know the main region for my too much hmm
149,all of a sudden i felt dizzy when i stood up,all of a sudden i feel dizzy when i stood up,5422,all of a sudden i feel dizzy when i stood up
150,i have severe shoulder pain,i have shaver shoulder pain,5423,i have shouder shoulder pain
151,i get an ear ache when it is cold,i get an ear ache when it is cold,5424,i get an ear ache when it is cold
152,i broke my ankle while doing rock climbing in the carpathians,i broke my ankle while doing rock climbing in the carpenter and,5425,i broke my ankle while doing rock climbing in the carpathians
153,i feel severe itching in the skin with redness,eye feel shaver itching in the itin with redness,5426,i feel shaver itching in the skin with redness
154,my skin color on my back is red i dont know why,my skin color on my back is red i dont know why,5427,my skin color on my back is red i dont know why
155,my cut yellow or greenishcolored pus,ma yellow or greenish colored was,5428,yellow or greenishcolored was
156,i feel pain in my back,i feel pain in my back,5429,i feel pain in my back
157,i feel abdominal pain,i feel abdominal pain,5430,i feel abdominal pain
158,i am worried for my driving because i can barely focus when i am at the wheel my eyes feel teary,i am worried for my driving because i can barely focus when i am at the whole my eyes feel teary,5431,i am worried for my driving because i can barely focus when i am at the wheel my eyes feel teary
159,laceration rupture or opening in the skin,laceration rupture or opening in the skin,5432,laceration rupture or opening in the skin
160,i can hardly breathe,i can hardly breathe,5433,i can hardly breathe
161,i cant stop coughing,i cant stop coughing,5434,i cant stop coughing
162,sharp pain and heavy breathing,sharp pain and heavy breathing,5435,sharp pain and heavy breathing
163,my son got a tattoo several weeks ago and the skin around it is raised and hot and it looks infected,mice and go at attack to several weeks ago and the been around it is raised and hot and it looks infe,5436,three weeks ago and the been around it is raised and hot and it looks infe
164,i have a very bad cough,i have a very bad cough,5437,i have a very bad cough
165,i have a problem in seeing objects it is too difficult to see,i have a problem in seeing objects it too difficult to see,5438,i have a problem in seeing objects it is too difficult to see
166,there is pain in my joints i can not bear pain,there is pain in my joints i cannot wear pain,5439,there is pain in my joints i cannot wear pain shoes
167,i have a great pain in my foot like thrombing pain with relaxing my pain releif,i have a great pain in my foot like throbbing pain with relaxing my pain relief,5440,i have a great pain in my foot like throbbing pain with relaxing my pain releif
168,when i walk i get a stabbing pain in the top of my foot,when i walk i get a stabbing pain in the top of my foot,5441,when i walk i get a stabbing pain in the top of my foot
169,it hurts when i raise my arm up,it hurts when i raise my arm up,5442,it hurts when i raise my arm up
170,i feel back pain when i carry heavy things,i feel back pain when i carry heavy things,5443,i feel back pain when i carry heavy things
171,i feel pain in my stomach,i feel pain in my stomach,5444,i feel pain in my stomach
172,i have a dull ache in my head,i have a dull ache in my head,5445,i have a dull ache in my head
173,i feel dizzy after doing a muscular effort,i feel dizzy after doing a muscular effort,5446,i feel dizzy after doing a muscular effort
174,i have a blurry vision during my swimming training in the pool why,i have a blurry vision during my swimming training in the pool why,5447,i have a blurry vision during my swimming training in the pool why
175,my arm hurts when i stretch,my arm hurts when i stretch,5448,my arm hurts when i stretch
176,i feel very weak in my body,i feel very weak in my body,5449,i feel very weak in my body
177,i travelled by plane a few days ago and this time during landing my ears remained clogged and painful,i traveled by plane a few days ago and this time during landing my ears remained clogged and painful,5450,i travelled by plane a few days ago and this time during landing my ears remained clogged and painful
178,i m feeling cold though the temperature is high,im feeling cold though the temperature is high,5451,im feeling cold though the temperature is high
179,i feel pain in my knee when i climb the stairs,i feel pain in my knee when i climb the stairs,5452,i feel pain in my knee when i climb the stairs
180,i have a dry throat,i have a dry throat,5453,i have a dry throat
181,i complain alot with skin allergy,i complain a lot with skin allergy,5454,i complain alot with skin allergy
182,heavy breath with fatigue,heavy breath with fatigue,5455,heavy breath with fatigue
183,i feel increased heart rate with prick,i feel increased heart rate with pc,5456,i feel increased heart rate with prick
184,i cut my hand a couple of days ago and although i didnt think i needed it stitches it hasnt closed up,i cut my hand a couple of days ago and although i didnt think i needed it stitches it hasnt closed up,5457,i cut my hand a couple of days ago and although i didnt think i needed it stitches it hasnt closed up
185,i feel pain when i think of her,i feel pain when i think of her,5458,i feel pain when i think of her
186,my biceps started aching after i went to the gym,my biceps started aching after i went to the gym,5459,my biceps started aching after i went to the gym
187,i tried alot of cream but i still feel the same skin problem,i tried a lot of cream but i still feel the same skin problem,5460,i tried alot of cream but i still feel the same skin problem
188,i have difficulty in breathing in crowded places,i have difficulty in breathing in crowded places,5461,i have difficulty in breathing in crowded places
189,i feel hurt lot of pain in my heart,i feel hurt a lot of pain in my heart,5462,i feel hurt lot of pain in my heart
190,i have an open wound in my arm,i have an open wound in my arm,5463,i have an open wound in my arm
191,i have a foot ache in winter or when it feels cold why,i have a foot ae in winter or when it feels cold why,5464,i have a foot ache in winter or when it feels cold why
192,i feel discomfort throughout the body in general,i feel discomfort throughout the body in general,5465,i feel discomfort throughout the body in general
193,i feel cold although we are in summer,i feel cold although we are in summer,5466,i feel cold although we are in summer
194,i was kicked in the head playing soccer last night,i was kicked in the head playing soccer last night,5467,i was kicked in the head playing soccer last night
195,i was playing basketball yesterday i have sprained ankle,i was playing basketball yesterday i have sprained ankle,5468,i was playing basketball yesterday i have sprained ankle
196,i have blurred vision,i have blurred vision,5469,i have blurred vision
197,his infected wound was beginning to rot,his infected wound was beginning to rot,5470,his infected wound was beginning to rot
198,glass broken and wound my leg badly the wound is so wide,glass broken and wound my leg badly the wound is so wide,5471,glass broken and wound my leg badly the wound is so wide
199,i cant rotate my neck,i cant rotate my neck,5472,i cant rotate my neck
200,i have a sharp pain in my neck,i have a sharp pain in my neck,5473,i have a sharp pain in my neck
201,my face break out badly every month around my cycle,my face break out badly every month around my cycle,5474,my face break out badly every month around my cycle
202,my body feels weak and i tried to make it relax but it stills pain me,my body feels weak and i tried to make it relax but it stills pain me,5475,my body feels weak and i tried to make it relax but it stills pain me
203,my knees hurt so bad to walk that i stay sitting more than i should,my knees hurt so bad to walk that i stay sitting more than i should,5476,my knees hurt so bad to walk that i stay sitting more than i should
204,i feel pain in the lower back,i feel pain in the lower back,5477,i feel pain in the lower back
205,my neck hurts me and i cant look down or up,my neck hurts me and i cant look down or up,5478,my neck hurts me and i cant look down or up
206,im not feeling good i cant take my breath,im not feeling good i cant take my breath,5479,im not feeling good i cant take my breath
207,i cant sleep i have a hard cough,i cant sleep i have a hard cough,5480,i cant sleep i have a hard cough
208,i could not exercise because of my knee pain,i could not exercise because of my knee pain,5481,i could not exercise because of my knee pain
209,i feel pain in my heart when i wake up,i feel pain in my heart when i wake up,5482,i feel pain in my heart when i wake up
210,annoyance starts suddenly often after an injury or exercise,annoyance starts suddenly often after an injury or exercise,5483,annoyance starts suddenly often after an injury or exercise
211,i am feeling so dizzy body is so fragile,i am feeling so dizzy body is so fragile,5484,i am feeling so dizzy body is so fragile
212,my kneecap feels like it is grating bone on bone when i walk,my kneecap feels like it is grading bone on bone when i walk,5485,my kneecap feels like it is grating bone on bone when i walk
213,i have throbing in my shoulder,i have throbbing in my shoulder,5486,i have throbing in my shoulder
214,my chest break out with red pimples and whiteheads,my chest break out with red pimples and whiteheads,5487,my chest break out with red pimples and whiteheads
215,i break out on my face very frequently,i break out on my face very frequently,5488,i break out on my face very frequently
216,i feel a strange and powerful pain inside my rib cage,i feel a strange and powerful pain inside my rib cage,5489,i feel a strange and powerful pain inside my rib cage
217,i feel chilly like an ice cube  my sister said that she needs several blankets to cover her so that she is warm enough,i feel chilly like an ice cube my sister said that she needs several blankets to cover her so that she is warm enough,5490,i feel chilly like an ice cube  my sister said that she needs several blankets to cover her so that is warm enough
218,whats the symptoms of appendicitis,whats the symptoms of appendicitis,5491,whats the symptoms of appendicitis
219,after playing tennis  i had a powerful sensation close to my neck,after playing tennis i had a powerful sensation close to my neck,5492,after playing tennis  i had a powerful sensation close to my neck
220,my husband left me for another woman my heart hurts so badly to the point i cant eat or sleep,my husband left me for another woman my heart hurts so badly to the point i cant eat or sleep,5493,my husband left me for another woman my heart hurts so badly to the point i cant eat or sleep
221,my heart feels like its going to explode,my heart feels like its going to explode,5494,my heart feels like its going to explode
222,i get chills and aches all over,i get chills and itchy all over,5495,i get chills and itchy all over
223,i think theres fluid in my ears,i think theres fluid in my ears,5496,i think theres fluid in my ears
224,there are lots of hairs on my pillow in the morning,there are lots of hairs on my pillow in the morning,5497,there are lots of hairs on my pillow in the morning
225,when im driving my eyes see in double,when i am driving my ihc interval,5498,when im driving my i hc interval
226,it feels like someone is hitting my head with a hammer  i feel pain on the top of my head and it throbs,it feels like someone is hitting my head with a hammer i feel pain on the top of my head and it throbs,5499,it feels like someone is hitting my head with a hammer  i feel pain on the top of my brain and it throbs
227,after a breakup  i feel something strange in me,after a breakup i feel something strange in me,5500,after a breakup  i feel something strange in me
228,i have shooting pains up and down my back,i have shooting pains up and down my back,5501,i have shooting pains up and down my back
229,since i went into the forest  i have pain on my ear,since i went into the forest i have pain on my ear,5502,since i went into the forest  i have pain on my ear
230,i hit myself and the would doesnt want to heal,i hit myself and the boat doesnt want to heal,5503,i hit myself and the would doesnt want to heal
231,my acne itches and oozes,my acne itches and oos,5504,my acne itches and oozes
232,theres swelling in my neck and it hurts,theres swelling in my neck and it hurts,5505,theres swelling in my neck and it hurts
233,it feels like my heart is going to leap out of my body it hurts,it feels like my heart is going to leap out of my body it hurts,5506,it feels like my heart is going to leap out of my body it hurts
234,i have a scab on the back of my hand that just wont go away,i have a escape on the back of my hand that just wont go away,5507,i have a scar on the back of my hand that just wont go away
235,is my cut infected or just healing,is my gut infected or just healing,5508,is my gut infected or just healing
236,i was very active in sports but now my body is feeling pain,i was very active in a sport but now my body is feeling pain,5509,i was very active in sports but now my body is feeling pain
237,it itches inside my ears,it itch inside my ears,5510,it itch inside my ears
238,my knees seem to grind as i go up or down stairs,my knees she to grind edge and go up or down the stairs,5511,my knees grind edge and go up or down the stairs
239,my face has broken out in painful red spots and lumps that no matter how much i clean my face dont seem to be going away,my face has broken out in painful reddish spots and lumps that no matter how much i clean my face dont seem to be going away,5512,my face has broken out in painful reddish spots and lumps that no matter how much i clean my face dont seem to be going away
240,after walking i have some pain under my foot,after walking i have some pain under my foot,5513,after walking i have some pain under my foot
241,i have a head pain every single day,i have a head pain every single day,5514,i have a head pain every single day
242,mr hair is falling out just by combing it,my hair is falling out just by combing it,5515,my hair is falling out just by combing it
243,i feel like i just cant cope anymore i feel overwhelmed and like i just cant get a break,i feel like i just cant cope anymore i feel overwhelmed and like i just cant get a break,5516,i feel like i just cant cope anymore i feel overwhelmed and like im just going to get a break
244,every morning when i wake up my neck feels like i slept on in wrong,every morning when i wake up my neck feels like i slept on and wrong,5517,every morning when i wake up my neck feels like i slept on in wrong
245,i cant hear out of my ear properly i feel like there is something in it causing irritation,i cant hear out of my ear properly i feel like there is something in it causing irritation,5518,i cant hear out of my ear properly i feel like there is something in it causing irritation
246,when i get out of bed in the morning my body feels very weak,when i get out of bed in the morning my body feels very weak,5519,when i get out of bed in the morning my body feels very weak
247,i have some terrible problems when im breathing during the night,i have some terrible problems when i am breathing during the night,5520,i have some terrible problems when im breathing during the night
248,i have a cut that is red and swollen,i have a cut that is red and swollen,5521,i have a cut that is red and swollen
249,i have a rash and it itches very bad,i have a rash and it itches very bad,5522,i have a rash and it itches very bad
250,my heart is pumping fast and im having a hard time to breath,my heart is pumping fast and im having a hard time to breathe,5523,my heart is pumping fast and im having a hard time to breath
251,i have constant stomach pain and bloating,i have constant stomach pain and bloating,5524,i have constant stomach pain and bloating
252,when im awake in the morning i feel strange and have vertigo,when im awake in the morning i feel strange and have vertigo,5525,when im awake in the morning i feel strange and have vertigo
253,ive been over my cold for weeks but still cough every day,i have been over my cold for weeks but i still cough every day,5526,ive been over my cold for weeks but i still cough every day
254,my knee doesnt want to bend well,my knee doesnt want to bend well,5527,my knee doesnt want to bend well
255,my face is all broken out with pimples,my face is all broken out with pimples,5528,my face is all broken out with pimples
256,my hair is falling out in bunches,my hair is falling out in bunches,5529,my hair is falling out in bunches
257,ive got a hard time to breath am i having a heart attack,i have got a hard time to breathe am i having a heart attack,5530,ive got a hard time to breath am i having a heart attack
258,when i walk up a flight of stairs my right knee hurts,when i walk up a flight of stairs my right knee hurts,5531,when i walk up a flight of stairs my right knee hurts
259,i cant turn my neck to the left without feeling a stabbing pain,i cant turn my neck to the left without feeling a stabbing pain,5532,i cant turn my neck to the left without feeling a stabbing pain
260,i have pain in my chest that saddens me,i have pain in my chest that saddens me,5533,i have pain in my chest that saddens me
261,my ear is ringing,my ear is ringing,5534,my ear is ringing
262,i feel really sad all the time,i feel really sad all the time,5535,i feel really sad all the time
263,i cut myself and im bleeding,i cut myself and i am bleeding,5536,i cut myself and im bleeding
264,even if the temperature is high in the house  my body is always cold,even if the temperature is high in the house my body is always cold,5537,even if the temperature is high in the house  my body is always cold
265,my sore isnt healing well and its been like this for two weeks,my sore isnt healing well and its been like this for two weeks,5538,my sore isnt healing well and its been like this for two weeks
266,i have a very rash sensation close to my arms,i have a very rough sensation close to my arms,5539,i have a very rough sensation close to my arms
267,my head hurts in the back and the pain lasts all day,my head hurts in the back and the pain lasts all day,5540,my head hurts in the back and the pain lasts all day
