sentence_num,ref,hyp,sub,sub_count,del,del_count,ins,ins_count,nochange
35,yeah yeah just normal vomit yeah  no   no blood no yeah,yeah yeah just normal vomit yeah you know   but no yeah,no -> you; no -> know; blood -> but,3,,0,,0,8
36,yep um i had a loss of appetite um so i havent been eating as much ** but ive been able to hold down fluids,yeah um i had a loss of appetite um so i havent been eating as much um but ive been able to hold down fluids,yep -> yeah,1,,0,um,1,23
37,yeah so its like loose and watery stool going to the toilet quite often uh and like some pain in my like lower stomach,yeah so its like loose and watery stool going to the toilet quite often um and like some pain in my like lower stomach,uh -> um,1,,0,,0,23
38,yeah so i had takeaway about four days ago um uh but other than that ive yeah been uh eating normally nothing ** unusual here,yeah so i had takeaway about four days ago um uh but other than that ive yeah been uh eating normally nothing uh unusual yeah,here -> yeah,1,,0,uh,1,23
39,um yeah  i ate at a chinese restaurant with friends yeah,um yeah ir *** at a chinese restaurant with friends yeah,i -> ir,1,ate,1,,0,9
40,um so no one else in the family so * **** a wife and two kids and one um child was vomiting but they havent got diarrhea theres no one with the same symptoms,um so no one else in the family so i have a wife and two kids and one ** child was vomiting but they havent got diarrhea theres no one with the same symptoms,,0,um,1,i; have,2,31
41,um probably like   six or seven times a day yeah,um probably like sixty ** seven times a day yeah,six -> sixty,1,or,1,,0,8
42,uh yes yeah i i work er um im an accountant,uh *** yeah i i work um um im in   accounts,er -> um; an -> in; accountant -> accounts,3,yes,1,,0,7
43,uh no i i dont drink alcohol no ****,uh no i i dont drink alcohol no yeah,,0,,0,yeah,1,8
44,uh  yes yeah thats thats very clear thank you,uh yeah yeah thats thats very clear thank you,yes -> yeah,1,,0,,0,8
45,yeah it feels um like a cramp ** like a muscular cramp and um yeah i feel a bit uh weak and shaky,yeah it feels um like a cramp uh like a muscular cramp and um yeah i feel a bit ** weak and shaky,,0,uh,1,uh,1,21
46,uh uh yes i think its a bit better its a bit its a bit its not very clear but *** lets continue anyway,uh uh yes i think its a bit better its a bit its a bit its not very clear but let lets continue anyway,,0,,0,let,1,23
47,no well **** ok thats ** so you mentioned the itchiness um you also mentioned its been quite sore,no well well ok thats ok so you mentioned the itchiness um you also mentioned its been quite sore,,0,,0,well; ok,2,17
48,um have you have you noticed any uh bleeding or discharge from your skins,um have you have you noticed any uh bleeding or discharge from your  skin,skins -> skin,1,,0,,0,13
49,uh ok ** lets start again so how can i help you sir,uh ok so lets start again so how can i help you sir,,0,,0,so,1,12
50,youve not havent uh seen any other uh pus or blood coming out of your skin,youre not having uh **** any other uh pus or blood coming out of your skin,youve -> youre; havent -> having,2,seen,1,,0,13
51,are you four days ago are you aware of any triggers or anything that you may have done that may have caused your symptoms to start,are you four days ago are you aware of any triggers so anything that you may have done that may have caused your symptoms to start,or -> so,1,,0,,0,25
52,fine so just to ** resummarize for the last four days youve had very itchy skin very sore skin all over your body mainly your chest and did you also mention your arms and legs as well,fine so just to re   summarize for the last four days youve had very itchy skin very sore skin all over your body mainly your chest and did you also mention your arms and legs as well,resummarize -> summarize,1,,0,re,1,35
53,ok *** anything on your face at all,ok and anything on your face at all,,0,,0,and,1,7
54,itchy ok so your your bowels are working ok,itching ok so your your bowels are working ok,itchy -> itching,1,,0,,0,8
55,no no problem im happy to help um ***** whereabouts in your skin is it affected,no no problem im happy to help um where       about on your skin is it affected,whereabouts -> about; in -> on,2,,0,where,1,13
56,ok ** thats ok so um normally at this stage  i like to examine you um,ok no thats ok so um normally at this stage id like to examine you um,i -> id,1,,0,no,1,14
57,to see the rash itself  to see exactly what type of rash it is but from what youve told me you mentioned its youve got some dry skin and some uh cracked skin as well,to see the rash itself and see exactly what type of rash it is but from what youve told me you mentioned its youve got some dry skin and some uh cracked skin as well,to -> and,1,,0,,0,34
58,uh and has been very itchy and so would your um,uh and its been very itchy and so  with your um,has -> its; would -> with,2,,0,,0,9
59,sorry to say theres a couple of questions i wanted to ask you which i completely forgot my apologies um apart from the eczema do you have any other medical problems i should be aware of,so ** *** ****** a couple of questions i wanted to ask you which i completely forgot my apologies um apart from the eczema do you have any other medical problems i should be aware of,sorry -> so,1,to; say; theres,3,,0,32
60,**** ** sorry i said do you have any allergies to anything,just uh sorry i  did ** you have any allergies to anything,said -> did,1,do,1,just; uh,2,8
61,** can you hear me thats alright i think it *** uh do you have any allergies at all,oh can you hear me    uh      so i think it cra uh do you have any allergies at all,thats -> uh; alright -> so,2,,0,oh; cra,2,15
62,ok uh no no no thats ********** thats absolutely fine um just a couple of questions i want to ask you which can sometimes affect your symptoms is do you smoke at all,ok uh no no no thats absolutely thats absolutely fine um **** a couple of questions i want to ask you which can sometimes affect your symptoms is do you smoke at all,,0,just,1,absolutely,1,31
63,no and do you drink much in the way of alcohol,no and do you drink much in   a way of alcohol,the -> a,1,,0,,0,10
64,ok ok ok ive got to say at this stage ive got to say **** *** this sound quality is not uh great but i will continue because weve come this far um,ok ok ok ive got to say at this stage ive got to say that the  the sound quality is not uh great but i will continue because weve come this far um,this -> the,1,,0,that; the,2,30
65,so um based on everything you mentioned *** sarah i do wonder whether this is a flare up of your eczema um,so um based on everything you mentioned sir    ii i do wonder whether this is a flare up of your eczema um,sarah -> ii,1,,0,sir,1,20
66,the reason being that you said  it was quite itchy um its mainly affecting your chest and your back,the reason being that you said its *** quite itchy um its mainly affecting your chest and your back,it -> its,1,was,1,,0,17
67,um and uh having looked at your skin uh the the the rash does appear quite familiar um you mentioned *** using steroid creams yesterday,um and uh having looked at your skin uh the the the rash does appear quite familiar um you mentioned you using steroid creams yesterday,,0,,0,you,1,24
68,um from the pharmacy i wonder whether giving you a stronger prescription of a ** of a steroid may be beneficial,um from the pharmacy i wonder whether giving you * stronger prescription of a uh of a steroid may be beneficial,,0,a,1,uh,1,19
69,uh which im happy to prescribe to you today as well as **** im going to give you something some emollients which helps to moisturize the skin,uh which im happy to prescribe to you today as well as that im gonna ** give you      some some  emollient which helps to moisturize the skin,going -> gonna; something -> some; emollients -> emollient,3,to,1,that,1,22
70,um which *** use in the bath and shower and its definitely worth um using that for the first seven to ten days,um which you use in the bath and shower and its definitely worth um using that for the   1st seven to ten days,first -> 1st,1,,0,you,1,21
71,uh before we make the decision on whether its working or not,uh before we make   a decision on whether its working or not,the -> a,1,,0,,0,11
72,um its also worth um using antihistamines which you can sometimes buy over *** counter,um its also worth um using antihistamines which you can sometimes buy over the counter,,0,,0,the,1,14
73,things like loratadine or  piriton which can help **** the itchiness of your skin,things like loratadine or claritin which can help with the itchiness of your skin,piriton -> claritin,1,,0,with,1,12
74,and uh um its also worth keeping a diary of any triggers which are affecting your symptoms anything you wear or anything you use in terms of shower gels or soap,and ** ** its also worth keeping a diary of any triggers which are affecting your symptoms anything you wear or anything you use in terms of shower gels or soap,,0,uh; um,2,,0,29
75,because if thats causing your symptoms then we need to have a discussion about ** **** **** an eczema  cu,because if thats causing  you symptoms then we need to have a discussion about it next time  i    see you,your -> you; an -> i; eczema -> see; cu -> you,4,,0,it; next; time,3,13
76,ohh could you say that again sorry,oh could you say that again sorry,ohh -> oh,1,,0,,0,6
77,no no ok * im    certain this is obviously affecting you and uh well try our very best to get get this sorted out for you um have you had anything like this before in the past,no no ok i  i understand this is obviously affecting you and uh well try our very best to get get   it sorted out for you um have you had anything like this before in the past,im -> i; certain -> understand; this -> it,3,,0,i,1,33
78,* ***** ok so its something for you to think about you can get * different types of antihistamines i can give you something a little bit stronger today as well,i didnt ok so its something for you to think about you can get a different  type of antihistamines i can give you something a little bit stronger today as well,types -> type,1,,0,i; didnt; a,3,27
79,um something like fexofenadine which i can give to you today its definitely worth trying and its not going to do you any harm,** something like fexofenadine which i can give to you today its definitely worth trying  it its not going to do you any harm,and -> it,1,um,1,,0,22
80,um but i *** think using the steroids and the emollients um on a regular basis,** but i say think using the steroids and the emollients ** on a regular basis,,0,um; um,2,say,1,13
81,uh over the next week to ten days should hopefully control your symptoms but do come back and see me next week if things dont get better,um over the next week to ten days should hopefully control your symptoms but do come back and see me next week if things dont get better,uh -> um,1,,0,,0,26
82,** its much more like itchy and my eczema was more like only in the  arm but now its * also on the chest and in the on the on the hands as well,mm its much more like itchy and my eczema was more like only in the arms and now its a also on the chest and in the in the on the hands as well,arm -> arms; but -> and; on -> in,3,,0,mm; a,2,29
83,like pretty yeah when like i like for instance hiking during the  weekend and,like ****** yeah when like i like for instance hiking during the weekends and,weekend -> weekends,1,pretty,1,,0,12
84,i am i cant really do it anymore because its like very like **** i wanted to do that last weekend and ** because super painful and i i have to take like showers every day to be able to **** cannot uh ease this itching  part which is very very annoying,i am i cant really do it anymore because its like very like like i wanted to do that last weekend and it     was super painful and i i have to take like showers every day to be able to kind     of uh ease this itching spots which is very very annoying,because -> was; cannot -> of; part -> spots,3,,0,like; it; kind,3,46
85,no i * its actually like its really annoying because im thinking about maybe ***** i should change something because i i havent and i dont understand *** **    i cannot um afraid of asking people around me because its **** cannot you know um i dont feel really comfortable asking about these questions its kind of intimate that so i your help now,no i i its actually like its really annoying because im thinking about maybe maybe i should change something because i i havent and i dont understand and im kind     of um afraid of asking people around me because its kind     of you know um i dont feel really comfortable asking about these questions its kind of intimate  and so i your head now,i -> kind; cannot -> of; cannot -> of; that -> and; help -> head,5,,0,i; maybe; and; im; kind,5,54
86,** on my face no,oh on my face no,,0,,0,oh,1,4
87,no ** just very   itchy nothing else,no no just  the itching nothing else,very -> the; itchy -> itching,2,,0,no,1,4
88,i i think so,uh i think so,i -> uh,1,,0,,0,3
89,um * so i had eczema before so maybe its disease but it seems like more uh like uh my eczema was only on the arms so im im not sure i i really have no idea,um i so i had eczema before so maybe its    this but it seems like more  i like uh my eczema was only on the  arm so im im not sure i i really have no idea,disease -> this; uh -> i; arms -> arm,3,,0,i,1,33
90,uh mostly like my chest my my hands my arms like like really its its super annoying like its itching a lot like all the time and,uh mostly like my chest my my hands my arms like    i  agree its its super annoying like its itching a lot like all the time and,like -> i; really -> agree,2,,0,,0,25
91,i like some sorry yeah,i like   ok sorry yeah,some -> ok,1,,0,,0,4
92,ohh allergies uh no,oh allergies uh no,ohh -> oh,1,,0,,0,3
93,uh so i live with a few flatmates im  a so you know im thirty one uh i yeah im i have a full time job and so im living with a few people to save money,uh so i live with a few flatmates im uh so you know im thirty one uh i yeah  i i have a full time job and so im living with a few people to save money,a -> uh; im -> i,2,,0,,0,35
94,so its been a its been a few years now uh its uh its kind of interesting were working im a like a kind of project manager uh   i mean do you want to to know more about it,so its been a its been a few years now uh its  a its kind of interesting were working im a like a kind of project manager uh and **** do you want to to know more about it,uh -> a; i -> and,2,mean,1,,0,36
95,i cant even sleep at night **** i really need something quickly to to solve it because even at work i    i can when im in a meeting and i have to like uh think about my work   i cant focus    i cant actually focus on my work its really annoying because i cant actually think about uh what i have to say im always like uh disturbed by this disease,i cant even sleep at night like i really need something   quick to to  sort it because even at work i like  um when im in a meeting and i have to like uh think about my work and **** focus like **** actually focus on my work its really annoying because i cant actually think about uh what i have to say im always like uh disturbed by this disease,quickly -> quick; solve -> sort; i -> like; can -> um; i -> and; i -> like,6,cant; cant,2,like,1,62
96,uh you know once in a while i * can i like hanging out with people once in a while so yeah id say a few a few beers per week something like this nothing nothing crazy i used to drink a lot more when i was younger but its been its been a while **,uh you know once in a while i i can i like hanging out with people once in a while so yeah id say a few a few beers per week something like this nothing nothing crazy i used to drink a lot more when i was younger but its been its been a while uh,,0,,0,i; uh,2,54
97,ok **** yes i have tried antihistamines uh lately but it didnt really help,ok just   i i have tried antihistamines uh lately but it didnt really help,yes -> i,1,,0,just,1,12
98,i have tried  uh antihistamines but uh but it didnt really help,i have tried the antihistamines *** uh but it ***** really help,uh -> the,1,but; didnt,2,,0,9
99,uh no thats it thank you very much   bye thank you as well bye,uh no thats it thank you very much right thank you ** **** bye,bye -> right,1,as; well,2,,0,11
100,and ** they gave me like some cream and something to uh when i like *** shower ** when i was in the shower * had to put something but um,and uh they gave me like some cream and something to uh when i like was shower uh when i was in the shower i had to put something but um,,0,,0,uh; was; uh; i,4,27
101,um i mean at that time yes thats those symptoms like these symptoms * appear like when the symptoms appeared again i tried those and it didnt work,and i mean at that time yes   but those symptoms like these symptoms a     uh like when the symptoms appeared again i tried those and it didnt work,um -> and; thats -> but; appear -> uh,3,,0,a,1,24
102,ive tried a few things like i bought    a a steroid cream at the pharmacy last night but it apparently didnt help because its still itching a lot today uh yeah,ive tried a few things like i bought like a steroid cream at the pharmacy last night but it apparently didnt help because its still itching a lot today uh yeah,a -> like,1,,0,,0,30
103,uh ok is that when you move your neck,** ok is that when you move your neck,,0,uh,1,,0,8
104,ok is that  all youre worried about,ok is that what youre worried about,all -> what,1,,0,,0,6
105,is that is that  all your main ***** worries today,is that is that what your main worry      is today,all -> what; worries -> is,2,,0,worry,1,7
106,but why *** dont we why dont we take a good history first and let me examine you and then we can have a little chat afterwards and see whats going on here,but why why dont we why dont we take a good history first and let me examine you and then we can have a little chat afterwards and see whats going on here,,0,,0,why,1,32
107,um so you mentioned a few things you mentioned   a  headache you also mentioned some disease like lymes uh before the headaches came on,um so you mentioned a few things you mentioned the headaches you also mentioned some     zig  zag lines uh before the headaches came on,a -> the; headache -> headaches; disease -> zig; like -> zag; lymes -> lines,5,,0,,0,19
108,and your vision has been blurry as well is that right is that ** *** **** is that on both eyes or just in left left eye,and your vision has been blurry as well is that right is that on the left is that on both eyes or just ** left left eye,,0,in,1,on; the; left,3,23
109,both eyes ok have you *** any difficulty with seeing bright lights at all,both eyes ok have you had any difficulty with seeing bright lights at all,,0,,0,had,1,13
110,ohh i see ok um and you mentioned that you felt quite nauseous have you vomited at all,oh i see ok um and you mentioned that you felt quite nauseous have you vomited at all,ohh -> oh,1,,0,,0,17
111,twice ok ***   um earlier today ok um any temperatures or fevers,twice ok and this earlier today ok um any temperatures or fevers,um -> this,1,,0,and,1,10
112,how long did   it last for,how long did they last for,it -> they,1,,0,,0,5
113,yeah sure   i mean i can see your  concern obviously     is a lot theres a lot of worry there,yeah sure and **** i can see your concerns obviously theres a lot theres a lot of worry there,i -> and; concern -> concerns; is -> theres,3,mean,1,,0,15
114,um but you know let let let as i said lets take it step by step um  to see exactly what the cause of these headaches are first um im just going to ask you some um very uh yes no questions if thats ok maam um,um but you know let let let as i said lets take it step by step um and see exactly what the cause of these headaches are first um im just gonna ** ask you some um very uh yes no questions ** thats ok maam um,to -> and; going -> gonna,2,to; if,2,,0,43
115,um have you noticed any problems with your speech at all any difficulties with your words,um have you noticed any problems with your speech at all any   difficulty with your words,difficulties -> difficulty,1,,0,,0,15
116,ok *** alright um and and youre feeling otherwise ok so for example your um,ok all   right um and and youre feeling otherwise ok so for example your um,alright -> right,1,,0,all,1,13
117,uh your your ********* breathings ok youre not feeling breathless or,uh your your breathing         is ok youre not feeling breathless or,breathings -> is,1,,0,breathing,1,9
118,no so for example have you had has anyone told you youve had migraines in the past,no so for example   if you had  if anyone told *** youve had migraines in the past,have -> if; has -> if,2,you,1,,0,14
119,no ok do you ****,no ok do you take,,0,,0,take,1,4
120,right ** my next question was  that of family history is there anything in the family so apart from migraines is there anything else is there anything related to *** brain for example,right so my next question was about ** family history is there anything in the family so apart from migraines is there anything else ** ***** anything related to the brain for example,that -> about,1,of; is; there,3,so; the,2,27
121,***** thyroid as well ok um ok any other problems with for example the brain or um you mentioned brain cancer any other family history of ****,under    fire as well ok um ok any other problems **** for example the brain or um you mentioned brain cancer any other family history of that,thyroid -> fire,1,with,1,under; that,2,23
122,thats something you meant to have a little discussion about today as well um,thats something  we   may ** have a little discussion about today as well um,you -> we; meant -> may,2,to,1,,0,11
123,uh well my next question was about um your social ** your situation at home you mentioned you work in the fashion industry,uh well my next question was about um your social or your situation at home you mentioned you work in the fashion industry,,0,,0,or,1,22
124,and your work is your job quite stressful at the moment,is your work is your job quite stressful at the moment,and -> is,1,,0,,0,10
125,** is it getting you down,mm is it getting you down,,0,,0,mm,1,5
126,ok *** alright and what kind of things do you do to alleviate your stress normally,ok all   right and what kind of things do you do to alleviate your stress normally,alright -> right,1,,0,all,1,14
127,yeah ok  um do you smoke at all *** ** and do you drink much in the way of alcohol,yeah ok and do you smoke at all yes so and do you drink much in the way of alcohol,um -> and,1,,0,yes; so,2,17
128,well lets try our best lets try and get you lets try and get you well soon um you mentioned its on your     left hand side is that right and it started at    mid day a few hours ago,well lets try our best lets try and get you lets try and get you well soon um you mentioned its on your lefthand **** side is that right and it started at midday *** a few hours ago,left -> lefthand; mid -> midday,2,hand; day,2,,0,35
129,ok *** alright um so normally at this id like to kind of proceed to examination um,ok all   right um so normally at this id like to kind of proceed to examination um,alright -> right,1,,0,all,1,15
130,thats um based on your story um i wonder whether you may uh may have a migraine uh ** migraine type headache uh it sounds,thats um based on your story um i wonder whether you may um may have a migraine uh mi migraine type headache uh it sounds,uh -> um,1,,0,mi,1,23
131,um very classical of that of that nature the the the *** headache on one side throbbing nature the nausea vomiting um sensitivity to bright lights,um very classical of that of that nature the the the the headache on one side throbbing nature the nausea vomiting um   sensitive to bright lights,sensitivity -> sensitive,1,,0,the,1,24
132,well i hope that puts your you know mind at ease um certainly this is the second ** migraine youve had in the space of a month um,well i hope that  put your you know   em at ease um certainly this is the second he migraine youve had in the space of a month um,puts -> put; mind -> em,2,,0,he,1,25
133,so i think moving forwards theres a couple of options i think keeping a headache diary would be quite important uh to see exactly whats triggering these headaches,so i think moving forwards theres a couple of options i think keeping a headache diary  will be quite important uh to see exactly whats triggering  this  headache,would -> will; these -> this; headaches -> headache,3,,0,,0,25
134,and in  terms   of trying  to treat your headaches today *** some strong painkillers would be advisable so *** **** think about paracetamol or even   co codamol,but we should also    try and treat your headaches today and some strong painkillers would be advisable so you know think about paracetamol or even coco *******,and -> but; in -> we; terms -> should; of -> also; trying -> try; to -> and; co -> coco,7,codamol,1,and; you; know,3,16
135,um and some               anti inflammatories such as ibuprofen and naproxen *** hows that sound to you,um and some antiinflammatories ************** such as ibuprofen and naproxen how does that sound to you,anti -> antiinflammatories; hows -> does,2,inflammatories,1,how,1,12
136,** ok um did the pain come on quite suddenly or was it more of a gradual   build up,mm ok um did the pain come on quite suddenly or was it more of a gradual buildup **,build -> buildup,1,up,1,mm,1,16
137,um and uh you know if your headaches were to become more persistent then we could maybe think about giving you some medications that will stop your headaches from happening in the first place something *** **** prophylactic medicines,um and uh you know if your headaches were to become more persistent then we   can maybe think about giving you some medications that will stop your headaches from happening in the first place something you know prophylactic medicines,could -> can,1,,0,you; know,2,36
138,then we could have a discussion next time i see you next week perhaps,then we   can have a discussion next time i see you next week perhaps,could -> can,1,,0,,0,13
139,ok um now a couple of things i want you to think about is you know if your symptoms arent getting better ** *** next    two three days or indeed theyre getting worse,ok um now a couple of things i want you to think about is you know if your symptoms arent getting better in the next twenty three days or indeed theyre getting worse,two -> twenty,1,,0,in; the,2,30
140,id like you to come back and see me um straight away if possible so if your ******** headaches getting worse *** not responding to medications,id like you to come back and see me um straight away if possible so if your headache        is getting worse and not responding to medications,headaches -> is,1,,0,headache; and,2,23
141,or your um **** neck pain is getting worse or you develop any weakness in your arms and legs or your vision then i want you to come back and see me straight away ok,or your um your neck pain is getting worse or you develop any weakness in your arms and legs or your vision then i want you to come back and see me straight away ok,,0,,0,your,1,34
142,ohh i just got    a terrible headache since    mid day,oh i just got this terrible headache since midday ***,ohh -> oh; a -> this; mid -> midday,3,day,1,,0,6
143,well like if i lean forward or like move my head or neck yeah *** headache gets worse,well like if i lean forward or like move my head or neck yeah the headache gets worse,,0,,0,the,1,17
144,im just really worried like ive just been googling and like ive read you know if *** *** your headache gets worse   if you move ** it could be a sign of brain cancer,im just really worried like ive just been googling and like ive read you know if you you  get headache gets worse when you move it it could be a sign of brain cancer,your -> get; if -> when,2,,0,you; you; it,3,29
145,ohh yeah yeah and  id like you know,oh yeah yeah and ive like you know,ohh -> oh; id -> ive,2,,0,,0,6
146,my my friends mum she she recently died ** * of a brain tumor so its really concerning me actually,my my friends mom she she recently died of a of a brain tumor so its really concerning me actually,mum -> mom,1,,0,of; a,2,17
147,*** eh feels like  it some days,and it feels like its   on both,eh -> it; it -> its; some -> on; days -> both,4,,0,and,1,2
