sentence_num,ref,hyp,sub,sub_count,del,del_count,ins,ins_count,nochange
43,i fell a stiffness in my elbows and shoulders,i feel a stiffness in my elbows and shoulders,fell -> feel,1,,0,,0,8
44,i was diagnosed with * ****** b12deficiency anemia which explains why i always felt cold,i was diagnosed with b twelve    deficiency anemia which explains why i always felt cold,b12deficiency -> deficiency,1,,0,b; twelve,2,12
45,i was playing football and injuried with joint pain,i was playing football and  injured with joint pain,injuried -> injured,1,,0,,0,8
46,* im not good i feel dizzy,i am not good i feel dizzy,im -> am,1,,0,i,1,5
47,i had a cold the last time i travelled by plane and i still have a discomfort in my ears,i had a cold the last time i  traveled by plane and i still have a discomfort in my ears,travelled -> traveled,1,,0,,0,19
48,i have an     ear ache that wont go away i dont have a cold or headache or any other symptoms just an earache,i have an earache **** that wont go away i dont have a cold or headache or any other symptoms just an earache,ear -> earache,1,ache,1,,0,21
49,* im suffering from sharp cough accompanied by phlegm,i am suffering from sharp cough accompanied by phlegm,im -> am,1,,0,i,1,7
50,chronic disease of hair follicles and sebaceous glands,chronic disease of hair follicles and      seis glands,sebaceous -> seis,1,,0,,0,7
51,i am having problems seeing things feel like a cloud on my eyes everything is blurry,i am having  problem seeing things feel like a cloud on my eyes everything is blurry,problems -> problem,1,,0,,0,15
52,sometimes i cough because * im a smoker,sometimes i cough because i am a smoker,im -> am,1,,0,i,1,6
53,chronic bone disease at the level of the doubles of the lower estremidades,chronic bone disease at the level of the doubles of the lower      extremo,estremidades -> extremo,1,,0,,0,12
54,i complain * alot with skin allergy,i complain a  lot with skin allergy,alot -> lot,1,,0,a,1,5
55,i have pimples  in patches along with a lot of redness on my face,i have pimples and patches along with a lot of redness on my face,in -> and,1,,0,,0,13
56,i feel pain in my eyes i can see fog,i  see pain in my eyes i can see fog,feel -> see,1,,0,,0,9
57,i have acne in my face and other problema in my derma like itching,i have acne in my face and other problems in my derma like itching,problema -> problems,1,,0,,0,13
58,i have a great stomach ache and i cant eat      any thing,i have a great stomach ache and i cant eat anything *****,any -> anything,1,thing,1,,0,10
59,i started taking swimming lessons and i guess i swallowed too much water through my nose because this ***** sinusitis is killing me now,i started taking swimming lessons and i guess i swallowed too much water through my nose because this sinus      titi is killing me now,sinusitis -> titi,1,,0,sinus,1,22
60,i felt my heart hurts when i ran for * along distance,i feel my heart hurts when i run for a  long distance,felt -> feel; ran -> run; along -> long,3,,0,a,1,8
61,sometimes when  it is cold outside my face hurts especially around the pimples that are ready to pop,sometimes when its ** cold outside my face hurts especially around the pimples that are ready to pop,it -> its,1,is,1,,0,16
62,i am having running nose,i am having   runny nose,running -> runny,1,,0,,0,4
63,i have a throbbing in my joints,i have * throbbing in my joints,,0,a,1,,0,6
64,i have a blurry vision and i cant see in the darkness what is the reason doctor,i have * blurry vision and i cant see in the darkness what is the reason doctor,,0,a,1,,0,16
65,i was travelling by ship and i feel dizzy,i was  traveling by ship and i feel dizzy,travelling -> traveling,1,,0,,0,8
66,my neck is annoying me i cant sleep bacause of it,my neck is annoying me i cant sleep because of it,bacause -> because,1,,0,,0,10
67,i feel dizzy when i *** set infront of my laptop for an hour or two what possibly could be the reason,i feel dizzy when i sit  in   front of my laptop for an hour or two what possibly could be the reason,set -> in; infront -> front,2,,0,sit,1,19
68,i have blurry vision after i used a wrong medicine,i have blurry vision after i  use a wrong medicine,used -> use,1,,0,,0,9
69,it is like      i have a needle pushing through my heart,it is like having **** a needle pushing through my heart,i -> having,1,have,1,,0,9
70,the warming system of my house is broken and feel so cold,the warning system of my house is broken and feel so cold,warming -> warning,1,,0,,0,11
71,my neck is annoying me i cant sleep bacause     of  it,my neck is annoying me i cant sleep       a little bit,bacause -> a; of -> little; it -> bit,3,,0,,0,8
72,i travelled by plane a few days ago and this time during landing my ears remained clogged and painful,i  traveled by plane a few days ago and this time during landing my ears remained clogged and painful,travelled -> traveled,1,,0,,0,18
73,when i sneeze very hard i feel     ear ache,when i sneeze very hard i feel earache ****,ear -> earache,1,ache,1,,0,7
74,i feel increased heart rate with prick,i feel increased heart rate with   pic,prick -> pic,1,,0,,0,6
75,i feel that its hard to  breath for me  specially after running or making any effort,i feel that its hard to breathe for me especially after running or making any effort,breath -> breathe; specially -> especially,2,,0,,0,14
76,my body feels weak and i tried to make it relax but it stills  pain me,my body feels weak and i   try to make it relax but it  still pains me,tried -> try; stills -> still; pain -> pains,3,,0,,0,13
77,my kneecap feels like it is grating bone on bone when i walk,my kneecap feels like it is grading bone on bone when i walk,grating -> grading,1,,0,,0,12
78,i have  throbing in my shoulder,i have throbbing in my shoulder,throbing -> throbbing,1,,0,,0,5
79,i feel hurt * lot of pain in my heart,i feel hurt a lot of pain in my heart,,0,,0,a,1,9
80,i have a cold and it makes me cough * alot,i have a cold and it makes me cough a  lot,alot -> lot,1,,0,a,1,9
81,i    m feeling cold though the temperature is high,i hold ******* **** though the temperature is high,m -> hold,1,feeling; cold,2,,0,6
82,i was playing basketball yesterday i have * sprained ankle,i was playing basketball yesterday i have a sprained ankle,,0,,0,a,1,9
83,i have acne in my face and other problema in my derma like itching,i have acne in my face and other problems in my derma like itching,problema -> problems,1,,0,,0,13
84,annoyance starts suddenly often  after an injury or exercise,annoyance starts suddenly often injury an injury ** ********,after -> injury,1,or; exercise,2,,0,6
85,i have a foot ache in *** winter or when it feels cold why,i have a foot   ae in the winter or when it feels cold why,ache -> ae,1,,0,the,1,12
86,my chest    break out with red pimples and whiteheads,my chest breakout *** with red pimples and whiteheads,break -> breakout,1,out,1,,0,7
87,i feel very weak  in my body,i feel very weak and my body,in -> and,1,,0,,0,6
88,it is hard to  breath when i am in the underground metro station why,it is hard to breathe when i am in the underground metro station why,breath -> breathe,1,,0,,0,13
89,i tried * alot of cream but i still feel the same skin problem,i tried a  lot of cream but i still feel the same skin problem,alot -> lot,1,,0,a,1,12
90,my hand   open wound got infected,my hand opened wound got infected,open -> opened,1,,0,,0,5
91,there is so much pain when i move my arm,theres ** so much pain when i move my arm,there -> theres,1,is,1,,0,8
92,i had * alot of exercise yesterday so i feel sharp muscle pains,i had a  lot of exercise yesterday so i feel sharp muscle pains,alot -> lot,1,,0,a,1,11
93,my son squeezed a pimple and it broke open only to scab over and now ** looks like  it is infected,my son squeezed a pimple and it broke open only to scab over and now it looks like its ** infected,it -> its,1,is,1,it,1,18
94,*** anytime i play tennis i feel a shoulder pain,any    time i play tennis i feel a shoulder pain,anytime -> time,1,,0,any,1,8
95,my calves feel like   they  are tight as knots and are throbbing,my calves feel like theyre tied ***** as knots and are throbbing,they -> theyre; are -> tied,2,tight,1,,0,9
96,i was diagnosed with pneumonia i cant  breath easily,i was diagnosed with pneumonia i cant breathe easily,breath -> breathe,1,,0,,0,8
97,i read a book for * along time and when i finished reading i feel head     ache,i read a book for a  long time and when i finished reading i feel    a headache,along -> long; head -> a; ache -> headache,3,,0,a,1,13
98,there feels like a swollen knot at my ******** shoulderblade with pain shooting from that,there feels like a swollen knot at my shoulder         blade with pain shooting from that,shoulderblade -> blade,1,,0,shoulder,1,13
99,my knees swell right below the    knee cap and hurt when i put weight on them,my knees swell right below the kneecap *** and hurt when i put weight on them,knee -> kneecap,1,cap,1,,0,14
100,i am always cold even when i am wearing layers,im ** always cold even when i am wearing layers,i -> im,1,am,1,,0,8
101,there is acne on my face,theres ** acne on my face,there -> theres,1,is,1,,0,4
102,i have a neck pain when i sit ** infront of my laptop,i have a neck pain when i sit in   front of my laptop,infront -> front,1,,0,in,1,11
103,i need a kind of cream  wich  make my muscles more relaxed,i need a kind of cream which makes my muscles more relaxed,wich -> which; make -> makes,2,,0,,0,10
104,i have blurry vision after i used   a wrong medicine,i  had blurry vision after i used the wrong medicine,have -> had; a -> the,2,,0,,0,8
105,i have disterbance in my emotion,i have disturbance in my emotion,disterbance -> disturbance,1,,0,,0,5
106,when my       grand father died i felt a hard emotional pain,when my grandfather ****** died i felt a hard emotional pain,grand -> grandfather,1,father,1,,0,9
107,when * get up i found that i have a stomach ache and i tried to take ** medecine but my stomach ** still hurting me,when i get up i found that i have a stomach ache and i tried to take my medicine but my stomach is still hurting me,medecine -> medicine,1,,0,i; my; is,3,22
108,i have a problem in the expiration because i have * abronchial asthma,i have a problem in the expiration because i have a  bronchial asthma,abronchial -> bronchial,1,,0,a,1,11
109,i chopped off the tip of my finger while i was cutting some cardboard and i cannot stop the bleeding,i chopped off the tip of my finger  when i was cutting some cardboard and i cannot stop the bleeding,while -> when,1,,0,,0,19
110,i have an     ear ache when showering,i have an earache **** when showering,ear -> earache,1,ache,1,,0,5
111,i used to be out of breath after going up a dozen of stairs but now i struggle to  breath even when i sit down,i used to be out of breath after going up a dozen of stairs but now i struggle to breathe even when i sit down,breath -> breathe,1,,0,,0,24
112,there is a sharp pain in my bicep   i have tried to apply pain relief cream but it does not help,theres ** a sharp pain in my bicep ive **** tried to apply pain relief cream but it does not help,there -> theres; i -> ive,2,is; have,2,,0,17
113,i have pimples  in patches along with a lot of redness on my face,i have pimples and patches along with a lot of redness on my face,in -> and,1,,0,,0,13
114,* im suffering from sharp cough accompanied by phlegm,i am suffering from sharp cough accompanied by phlegm,im -> am,1,,0,i,1,7
115,i complain * alot with skin allergy,i complain a  lot with skin allergy,alot -> lot,1,,0,a,1,5
116,chronic bone disease at the level of the doubles of the lower estremidades,chronic bone disease at the level of the doubles of the lower     extremis,estremidades -> extremis,1,,0,,0,12
117,i complain * alot with my neck pain and i really need to be better,i complain a  lot with my neck pain and i really need to be better,alot -> lot,1,,0,a,1,13
118,i cut my hand a couple of days ago and although i didnt think i needed it stitches it hasnt closed up,i cut my hand a couple ** days ago and although i didnt think i needed it stitches it hasnt closed up,,0,of,1,,0,21
119,i was playing football and injuried with joint pain,i was playing football and  injured with joint pain,injuried -> injured,1,,0,,0,8
120,my son had his lip pierced and it is swollen and the skin inside on his lip is grey and looks infected,my son had his lip pierced and it is swollen and the skin inside on his lip is gray and looks infected,grey -> gray,1,,0,,0,21
121,i have a cold and it makes me cough * alot,i have a cold and it makes me cough a  lot,alot -> lot,1,,0,a,1,9
122,i have  throbing in my shoulder,i have throbbing in my shoulder,throbing -> throbbing,1,,0,,0,5
123,chronic bone disease at the level of the doubles of the lower * estremidades,******* bone disease at the level of the doubles of the lower e         mega,estremidades -> mega,1,chronic,1,e,1,11
124,i feel hurt * lot of pain in my heart,i feel hurt a lot of pain in my heart,,0,,0,a,1,9
125,oh my heart hurts me i tried to be calm and i cant,oh my  head hurts me i   try to be calm and i cant,heart -> head; tried -> try,2,,0,,0,11
126,i feel **** pain in the lower back,i feel like pain in the  left ****,lower -> left,1,back,1,like,1,5
127,my chest    break out with red pimples and whiteheads,my chest breakout *** with red pimples and whiteheads,break -> breakout,1,out,1,,0,7
128,i travelled by plane a few days ago and this time during landing my ears remained clogged and painful,i  traveled by plane a few days ago and this time during landing my ears remained clogged and painful,travelled -> traveled,1,,0,,0,18
129,my kneecap feels like it is grating bone on bone when i walk,my kneecap feels like it is grading bone on bone when i walk,grating -> grading,1,,0,,0,12
130,i have difficulty in breathing in crowded places,i have difficulty ** breathing in crowded places,,0,in,1,,0,7
131,i feel that its hard to  breath for me  specially after running or making any effort,i feel that its hard to breathe for me especially after running or making any effort,breath -> breathe; specially -> especially,2,,0,,0,14
132,my grandson cut his foot on a seashell in the ocean and now the foot is turning gray and is puffy,my grandson cut his foot on a seashell in the ocean and now the foot is turning gray and it puffy,is -> it,1,,0,,0,20
133,my body feels weak and i tried to make it relax but it stills  pain me,my body feels weak and i   try to make it relax but it  still pains me,tried -> try; stills -> still; pain -> pains,3,,0,,0,13
134,i m feeling cold though the temperature is high,im * feeling cold though the temperature is high,i -> im,1,m,1,,0,7
135,my back got injured while i was lifting at the gym,my back got injured while i was working at the gym,lifting -> working,1,,0,,0,10
136,i feel increased heart rate with prick,i feel increased heart rate with   pri,prick -> pri,1,,0,,0,6
137,i feel * pain in my stomach,i feel a pain in my stomach,,0,,0,a,1,6
138,there pain in my foot,they pain in my foot,there -> they,1,,0,,0,4
139,my son had his lip pierced and it is swollen and the skin inside on his lip is grey and looks infected,my son had his lip pierced and it is swollen and the skin inside on his lip is gray and looks infected,grey -> gray,1,,0,,0,21
140,it is hard to  breath when  i am in the underground metro station why,it is hard to breathe when im ** in the underground metro station why,breath -> breathe; i -> im,2,am,1,,0,11
141,i was playing football and injuried with joint pain,i was playing football and  injured with joint pain,injuried -> injured,1,,0,,0,8
142,i complain * alot with my neck pain and i really need to be better,i complain a  lot with my neck pain and i really need to be better,alot -> lot,1,,0,a,1,13
143,* im suffering from sharp cough accompanied by phlegm,i am suffering from sharp cough accompanied by phlegm,im -> am,1,,0,i,1,7
144,i  hve cut my finger because of playing football and i to apply pain relief cream but it does not help,i have cut my finger because of playing football and i do apply pain relief cream but it does not help,hve -> have; to -> do,2,,0,,0,19
145,i fell a stiffness in my elbows and shoulders,i felt a stiffness in my elbows and shoulders,fell -> felt,1,,0,,0,8
146,i have a cut that has become red and oozes puss,i have a cup that has become red and oozes  pus,cut -> cup; puss -> pus,2,,0,,0,9
147,i have tried to  relief it but i cant,i have tried to relieve it but i cant,relief -> relieve,1,,0,,0,8
148,im not ******* good im feeling so cold,im not feeling good im feeling so cold,,0,,0,feeling,1,7
149,i was travelling by ship and i feel dizzy,i was  traveling by ship and i feel dizzy,travelling -> traveling,1,,0,,0,8
150,my nose is congested all the time and theres this  gluey secretion in my throat that makes it impossible for me to sleep i often have to nap sitting down,my nose is congested all the time and theres this gloomy secretion in my throat that makes it impossible for me to sleep i often have to nap sitting down,gluey -> gloomy,1,,0,,0,29
151,i cant stand up or sit down i have a pain in my back that annoys me,i cant stand up or sit down i have * pain in my back that annoys me,,0,a,1,,0,16
152,stiffness inability to look right or left except by moving the whole body,stiffness inability to look right or left except by moving  my whole body,the -> my,1,,0,,0,12
153,i have a great stomach ache and i cant eat      any thing,i have a great stomach ache and i cant eat anything *****,any -> anything,1,thing,1,,0,10
154,fell skull is cracked like nuts,foul skull is cracked like nuts,fell -> foul,1,,0,,0,5
155,i have a neck pain when i sit ** infront of my laptop,i have * neck pain when i sit in   front of my laptop,infront -> front,1,a,1,in,1,10
156,i am having running nose,i am having   runny nose,running -> runny,1,,0,,0,4
157,my shoulder has * agreat pain,my shoulder has a  great pain,agreat -> great,1,,0,a,1,4
158,when i move on my shoulder pain shoots down my arm,when i move ** my shoulder pain shoots down my arm,,0,on,1,,0,10
159,i started taking swimming lessons and i guess i swallowed too much water through my nose because this sinusitis is killing me now,i started taking swimming lessons and i guess i   swallow too much water through my nose because  the    sianis is killing me now,swallowed -> swallow; this -> the; sinusitis -> sianis,3,,0,,0,20
160,i have disterbance in my emotion,i have disturbance in my emotion,disterbance -> disturbance,1,,0,,0,5
161,yesterday i had        a shouder pain,yesterday i had shoulder ******* pain,a -> shoulder,1,shouder,1,,0,4
162,i have a pain in my head,i have * pain in my head,,0,a,1,,0,6
163,i have a     ear ache when i go to the pool,i have a earache **** when i go to the pool,ear -> earache,1,ache,1,,0,9
164,i was diagnosed with pneumonia i cant  breath easily,i was diagnosed with pneumonia i cant breathe easily,breath -> breathe,1,,0,,0,8
165,i have a pain in my elbow joint,i have * pain in my elbow joint,,0,a,1,,0,7
166,i was watching tv and suddenly have blurry vision,i was watching tv and suddenly  had blurry vision,have -> had,1,,0,,0,8
167,i feel something hurt me  in taking breath and i cant take my breath,i feel something hurt me and taking breath and i cant take my breath,in -> and,1,,0,,0,13
168,i have blurry vision after i used a wrong medicine,i have blurry vision after i  use a wrong medicine,used -> use,1,,0,,0,9
169,the warming system of my house is broken and  feel so cold,the warning system of my house is broken and feels so cold,warming -> warning; feel -> feels,2,,0,,0,10
170,when get up i found that i have a stomach ache and i tried to take medecine but my stomach ** still hurting me,when get up i found that i have a stomach ache and i tried to take medicine but my stomach is still hurting me,medecine -> medicine,1,,0,is,1,22
171,i *** dont have full range of motion with my arms,i don    t have full range of motion with my arms,dont -> t,1,,0,don,1,9
172,i have an     ear ache when showering,i have an earache **** when showering,ear -> earache,1,ache,1,,0,5
173,i get   i joint pain when i try to bend my leg or my arm,i get eye joint pain when i try to bend my leg or my arm,i -> eye,1,,0,,0,14
174,when i remember her i feel down,when i remember her i fell down,feel -> fell,1,,0,,0,6
175,the pain in my back dwwls like a sharp knife in it,the pain in my back dulls like a sharp knife in it,dwwls -> dulls,1,,0,,0,11
176,it hurts when i bent my arm,it hurts when i bend my arm,bent -> bend,1,,0,,0,6
177,there is a sharp pain in my  calve,there is a sharp pain in my calves,calve -> calves,1,,0,,0,7
178,* im in need for a treatment for my      hair fall,i am in need for a treatment for my headphone ****,im -> am; hair -> headphone,2,fall,1,i,1,7
179,i have shoulder pain after doing any     home work,i have shoulder pain after doing any homework ****,home -> homework,1,work,1,,0,7
180,i cut my finger opening a   can it wont stop bleeding and the wound is  gaping and open,i cut my finger opening a again it wont stop bleeding and the wound is gapping and open,can -> again; gaping -> gapping,2,,0,,0,16
181,i feel a **** ** boneonbone pain in my knees when i climb stairs,i feel a bone on       bone pain in my knees when i climb stairs,boneonbone -> bone,1,,0,bone; on,2,11
182,i cut my hand a couple of weeks ago and even though i keep using an antibiotic cream its not getting better,i cut my hand a couple ** weeks ago and even though i keep using an antibiotic cream its not getting better,,0,of,1,,0,21
183,when i stand up too quickly i feel as though * im going to faint,when i stand up too quickly i feel as though i am going to faint,im -> am,1,,0,i,1,13
184,i feel dizzy when i make  sudden movements,i feel dizzy when i make certain movements,sudden -> certain,1,,0,,0,7
185,my daughter was bit by her cat and now her hand is sore red and swollen and the wound is ** oozing liquid,my daughter was bit by her cat and now her hand is sore red *** swollen and the wound is oo     in liquid,oozing -> in,1,and,1,oo,1,20
186,my ear hurts and its worse when i swallow my ear is very painful and tylenol *** hasnt helped,my ear hurts and  it hurts when i swallow my ear is very painful and tylenol has   not helped,its -> it; worse -> hurts; hasnt -> not,3,,0,has,1,15
187,my head hurts and i lose the ***** sensation in my face then lose sight in my eye,my head hurts and i lose the sense       sun in my face then lose sight in my eye,sensation -> sun,1,,0,sense,1,16
188,my daughter had her ears pierced and one of her ear lobes is bright red and burning hot,my daughter had her ears pierced and one of her ear loops is bright red and burning hot,lobes -> loops,1,,0,,0,17
189,*  ive been feeling very sad lately,i have been feeling very sad lately,ive -> have,1,,0,i,1,5
190,i must see   a doctor i have an open wound,i must see you doctor i have an open wound,a -> you,1,,0,,0,9
191,my cbc report indicate ten hb i feel tired of little work,my cbc report indicate   a  b i feel tired of little work,ten -> a; hb -> b,2,,0,,0,10
192,i visited many doctors but they cant find the right treatment ** toget my hair back,i visited many doctors but they cant find the right treatment to   get my hair back,toget -> get,1,,0,to,1,14
193,i had a  cut that was stitched together but it is not healing it is oozing green puss and burns,i had a card that was     tied together but it is not healing it is ****** green pass and burns,cut -> card; stitched -> tied; puss -> pass,3,oozing,1,,0,16
194,surgical wounds      red firing  pus painful and hot to the touch,surgical wounds straight firing pass painful and hot to the touch,red -> straight; pus -> pass,2,,0,,0,9
195,i think ***** theres something wrong with my wound it   does not seem to heal like it should,i think there     is something wrong with my wound it should not seem to heal like it should,theres -> is; does -> should,2,,0,there,1,15
196,i broke my ankle while doing rock climbing in the ****** carpathians,i broke my ankle while doing rock climbing in the carpet       hands,carpathians -> hands,1,,0,carpet,1,10
197,there is a sharp pain in my ear whenever i do this,there is a sharp pain in my  er whenever i do this,ear -> er,1,,0,,0,11
198,i made lots and lots of analysis to know the main reason for my stomach ache,i made lots and lots of     alys to know the main reason for my stomach ache,analysis -> alys,1,,0,,0,15
199,the wound is still open,the  only is still open,wound -> only,1,,0,,0,4
200,there is pain in my joints i    can not bear pain,there is pain in my joints i cannot *** bear pain,can -> cannot,1,not,1,,0,9
201,when i walk its hard to  breath,when i walk its hard to breathe,breath -> breathe,1,,0,,0,6
202,i have a skin rash after eating an *** icecream,i have a skin rash after eating an ice    cream,icecream -> cream,1,,0,ice,1,8
203,i have a great pain in my foot like ****** thrombing pain with relaxing my pain releif,i have a great pain in my foot like thromb     being pain with relaxing my pain relief,thrombing -> being; releif -> relief,2,,0,thromb,1,14
204,my temperature dropped and my body get synosed,my temperature dropped and my body get   sinus,synosed -> sinus,1,,0,,0,7
205,i cant  breath because of cough,i cant breathe because of cough,breath -> breathe,1,,0,,0,5
206,a terrible fall in hair,a terrible fall in here,hair -> here,1,,0,,0,4
207,when i get up i see my skin vague,when i get up i see my skin *****,,0,vague,1,,0,8
208,i get breakouts on my chest with red patches that get more intense when i get hot,i get breakouts on my chest with red patches that get more intense when i get  up,hot -> up,1,,0,,0,16
209,i used * alot of       pain killer to get better but i still feel the same back pain,i used a  lot of painkiller ****** to get better but i still feel the same back pain,alot -> lot; pain -> painkiller,2,killer,1,a,1,14
210,when i tried to take care if my hair i found that it is falling out,when i   try to take care of my hair i found that it is falling out,tried -> try; if -> of,2,,0,,0,14
211,my head  ache since i woke up this morning,my head aches since i woke up this morning,ache -> aches,1,,0,,0,8
212,i cant  ride my car at night because i have blurry vision,i cant drive my car at night because i have blurry vision,ride -> drive,1,,0,,0,11
213,there is pain in the muscles i do not know caused,there is pain in the muscles i do not know  cause,caused -> cause,1,,0,,0,10
214,i feel pain in  the knee,i feel pain in pain ****,the -> pain,1,knee,1,,0,4
215,i fell through a window while i was cleaning it and i have a shard of glass stuck in my left eye i think it is pretty serious please help,i fell through a window while i was cleaning it and i have a shard of glass stuck in my left eye i think it is   very serious please help,pretty -> very,1,,0,,0,29
216,i feel shoulder  pain at intervals of time,feet **** shoulder pains at intervals of time,i -> feet; pain -> pains,2,feel,1,,0,5
217,i have a cut on my foot that became infected ** from using the showers at the gym,i have a cut on my foot that became infected so   im using the showers at the gym,from -> im,1,,0,so,1,16
218,i noticed an important decrease in my vision when i   try to look at things up close,i noticed an important decrease in my vision when i tried to look at things up close,try -> tried,1,,0,,0,16
219,i have a blurry vision after my head was hit yesterday,i  had a blurry vision after my head was hit yesterday,have -> had,1,,0,,0,10
220,im not feeling good i get infection wound,im not feeling good i get infection    wo,wound -> wo,1,,0,,0,7
221,i feel pain in my legs muscles after i ran yesterday i took some        pain killers but it doesnt help,i feel pain in my legs muscles after i ran yesterday i took some painkillers ******* but it doesnt help,pain -> painkillers,1,killers,1,,0,18
222,i carried   a heavy bag yesterday and when i get up today i felt a great shoulder pain,i carried the heavy bag yesterday and when i get up today i felt a great shoulder pain,a -> the,1,,0,,0,17
